institute,record_id,gender,country_origin,citizenship,months_postdoc,job_sector,job_type,specifics,job_country,job_state,degree,degree_field,degree_cip,years
NIEHS,1038,Female,China,International,30.4,For-profit company,Professional staff,Primarily clinical research,United States,New Jersey,PhD,Unknown,Unknown,2015-2019
NIEHS,1064,Female,France,International,78.9,For-profit company,Professional staff,Primarily applied research,United States,New Jersey,PhD,Cell & Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,154,Female,Canada,International,33,For-profit company,Professional staff,Primarily applied research,United States,New York,PhD,Pharmaceutical Sciences & Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,631,Female,Russia,International,80.7,For-profit company,Professional staff,Primarily clinical research,United States,New York,PhD,Developmental Biology,General Biology/Biomedical Science,2005-2009
NIEHS,5,Female,Poland,International,59.8,For-profit company,Professional staff,Science writing or communications,United States,North Carolina,PhD,Biology,General Biology/Biomedical Science,2010-2014
NIEHS,109,Female,China,International,63,For-profit company,Professional staff,Computation/informatics,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,180,Female,Brazil,International,35.7,For-profit company,Professional staff,Regulatory affairs,United States,North Carolina,DVM;PhD,Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,395,Female,Netherlands,International,60,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Environmental Health Sciences,Environmental Science,2000-2004
NIEHS,405,Female,Poland,International,39.4,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Biophysics,Biophysics/Structural Biology,2000-2004
NIEHS,434,Female,China,International,17.4,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Unknown,Unknown,2005-2009
NIEHS,594,Female,India,International,52.4,For-profit company,Professional staff,Primarily clinical research,United States,North Carolina,PhD,Nutrition,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,799,Female,Germany,International,63,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Pharmacology,Pharmacology/Toxicology,2005-2009
NIEHS,819,Female,China,International,48,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Unknown,Unknown,2010-2014
NIEHS,826,Female,China,International,36.8,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Unknown,Unknown,2010-2014
NIEHS,828,Female,China,International,23.9,For-profit company,Professional staff,Computation/informatics,United States,North Carolina,PhD,Molecular Medicine,Medicine/Veterinary Medicine/Pathology,2010-2014
NIEHS,886,Female,China,International,36.5,For-profit company,Professional staff,Science writing or communications,United States,North Carolina,PhD,Pharmacology,Pharmacology/Toxicology,2010-2014
NIEHS,912,Female,China,International,51.3,For-profit company,Professional staff,Primarily basic research,United States,North Carolina,PhD,Cell/Cellular and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,932,Female,India,International,38.5,For-profit company,Professional staff,Primarily clinical research,United States,North Carolina,PhD,Physiology & Biophysics,General Biology/Biomedical Science,2015-2019
NIEHS,980,Female,India,International,17.5,For-profit company,Professional staff,Computation/informatics,United States,North Carolina,PhD,Chemistry,Chemistry,2015-2019
NIEHS,994,Female,China,International,34.7,For-profit company,Professional staff,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2015-2019
NIEHS,1005,Female,China,International,60,For-profit company,Professional staff,Primarily basic research,United States,North Carolina,PhD,Biophysics,Biophysics/Structural Biology,2015-2019
NIEHS,1057,Female,India,International,34,For-profit company,Professional staff,Primarily basic research,United States,North Carolina,PhD,Immunology,Microbiology/Immunology,2015-2019
NIEHS,1059,Female,India,International,69,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Biological Chemistry,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,168,Female,India,International,24,For-profit company,Professional staff,Primarily applied research,United States,Pennsylvania,PhD,Biology,General Biology/Biomedical Science,2005-2009
NIEHS,300,Female,Canada,International,51.2,For-profit company,Professional staff,Primarily applied research,United States,Pennsylvania,PhD,Physiology,General Biology/Biomedical Science,2000-2004
NIEHS,898,Female,France,International,60.3,For-profit company,Professional staff,Primarily applied research,United States,Pennsylvania,PhD,Cell & Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,337,Male,Poland,International,27,For-profit company,Professional staff,Regulatory affairs,Australia,St Leonards,PhD,Physical and Theoretical Chemistry,Chemistry,2000-2004
NIEHS,909,Male,Canada,International,32.6,For-profit company,Professional staff,Primarily applied research,Canada,Toronto,PhD,Pharmaceutical Sciences,Pharmacology/Toxicology,2015-2019
NIEHS,953,Male,Canada,International,48,For-profit company,Professional staff,Regulatory affairs,Canada,Toronto,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,467,Male,China,International,47.5,For-profit company,Professional staff,Primarily applied research,China,Shanghai,PhD,Unknown,Unknown,2005-2009
NIEHS,525,Male,Japan,International,14.1,For-profit company,Professional staff,Sales/marketing,Japan,Osaka,PhD,Structual Physiology,Biophysics/Structural Biology,2005-2009
NIEHS,359,Male,Japan,International,60,For-profit company,Professional staff,Primarily applied research,Japan,Tokyo,PhD,Pharmacy,Pharmacology/Toxicology,2010-2014
NIEHS,551,Male,Spain,International,9.1,For-profit company,Professional staff,Consulting,Spain,Barcelona,PhD,Inorganic Chemistry,Chemistry,2010-2014
NIEHS,1025,Male,Spain,International,60,For-profit company,Professional staff,Consulting,Spain,Barcelona,PhD,Inorganic Chemistry,Chemistry,2015-2019
NIEHS,311,Male,Iran,International,47.8,For-profit company,Professional staff,Consulting,Sweden,Strangnas,PhD,Unknown,Unknown,2005-2009
NIEHS,227,Male,China,International,56,For-profit company,Professional staff,Computation/informatics,United States,California,PhD,neuropsychiatric genetics,Neurobiology/Neuroscience,2010-2014
NIEHS,911,Male,Taiwan,International,73.9,For-profit company,Professional staff,Primarily clinical research,United States,California,PhD,Cellular & Molecular Reproductive Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,792,Male,China,International,47.4,For-profit company,Professional staff,Primarily applied research,United States,District of Columbia,PhD,Physiology and Biophysics,General Biology/Biomedical Science,2005-2009
NIEHS,562,Male,South Korea,International,30,For-profit company,Professional staff,Technical/customer support,United States,Florida,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,541,Male,Russia,International,22.3,For-profit company,Professional staff,Primarily basic research,United States,Maryland,PhD,Yeast Genetics,Genetics/Genomics,2000-2004
NIEHS,1009,Male,India,International,22.5,For-profit company,Professional staff,Primarily applied research,United States,New Jersey,PhD,Pharmacology and Toxicology,Pharmacology/Toxicology,2015-2019
NIEHS,745,Male,Taiwan,International,34,For-profit company,Professional staff,Primarily applied research,United States,New York,PhD,Biological Sciences,General Biology/Biomedical Science,2000-2004
NIEHS,67,Male,Germany,International,44.1,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,"Biology, Electrophysiology",General Biology/Biomedical Science,2000-2004
NIEHS,182,Male,China,International,8,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Unknown,Unknown,2000-2004
NIEHS,251,Male,India,International,77.5,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Chemical Engineering,Other [Chemical engineering],2010-2014
NIEHS,363,Male,India,International,73.2,For-profit company,Professional staff,Sales/marketing,United States,North Carolina,PhD,Cell Biology and Molecular Genetics,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,554,Male,India,International,52.7,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Unknown,Unknown,2010-2014
NIEHS,707,Male,Colombia,International,47,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,MD,Medicine,Medicine/Veterinary Medicine/Pathology,2005-2009
NIEHS,810,Male,Netherlands,International,44.9,For-profit company,Professional staff,Primarily clinical practice,United States,North Carolina,PhD,Environmental Health Sciences,Environmental Science,2000-2004
NIEHS,947,Male,India,International,20.1,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Unknown,Unknown,2015-2019
NIEHS,950,Male,Brazil,International,80.8,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,995,Male,China,International,53.7,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Developmental Biology & Genetics,General Biology/Biomedical Science,2015-2019
NIEHS,1029,Male,India,International,46.7,For-profit company,Professional staff,Primarily clinical practice,United States,North Carolina,PhD,Unknown,Unknown,2015-2019
NIEHS,1101,Male,China,International,48,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Structure Biology,Biophysics/Structural Biology,2015-2019
NIEHS,473,Male,India,International,58.4,For-profit company,Professional staff,Primarily applied research,United States,Oregon,PhD,Neuroscience,Neurobiology/Neuroscience,2000-2004
NIEHS,852,Male,China,International,27,For-profit company,Professional staff,Regulatory affairs,United States,Pennsylvania,MD;PhD,Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,678,Male,Canada,International,22.4,For-profit company,Professional staff,Other,United States,Texas,PhD,Medical Science,General Biology/Biomedical Science,2005-2009
NIEHS,877,Male,China,International,59.9,For-profit company,Professional staff,Primarily applied research,United States,Texas,PhD,Biological Photochemistry,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,760,Male,India,International,48,For-profit company,Professional staff,Primarily applied research,United States,Wisconsin,PhD,Cell/Cellular and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,755,Female,United States,US,26.7,For-profit company,Professional staff,Intellectual Property/Licensing and Patenting,Canada,Toronto,PhD,Cell and Developmental Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,56,Female,United States,US,21.7,For-profit company,Professional staff,Regulatory affairs,Netherlands,Leiden,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,81,Female,United States,US,19,For-profit company,Professional staff,Computation/informatics,Switzerland,Basel,PhD,Epidemiology,Epidemiology,2000-2004
NIEHS,19,Female,United States,US,31.5,For-profit company,Professional staff,Intellectual property/licensing and patenting,United States,Arizona,PhD,Biomedical Sciences,General Biology/Biomedical Science,2005-2009
NIEHS,556,Female,United States,US,60,For-profit company,Professional staff,Computation/informatics,United States,California,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,1044,Female,United States,US,36,For-profit company,Professional staff,Primarily applied research,United States,California,PhD,Molecular Genetics,Genetics/Genomics,2015-2019
NIEHS,282,Female,United States,US,38.1,For-profit company,Professional staff,Primarily applied research,United States,Colorado,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,751,Female,United States,US,42.2,For-profit company,Professional staff,Science administration/project management,United States,Colorado,PhD,Molecular Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,908,Female,United States,US,34.4,For-profit company,Professional staff,Primarily applied research,United States,Connecticut,PhD,Pathology & Laboratory Medicine,Medicine/Veterinary Medicine/Pathology,2015-2019
NIEHS,742,Female,United States,US,50,For-profit company,Professional staff,Primarily clinical research,United States,District of Columbia,PhD,Pharmacology,Pharmacology/Toxicology,2010-2014
NIEHS,110,Female,United States,US,34.2,For-profit company,Professional staff,Consulting,United States,Georgia,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,134,Female,United States,US,13.7,For-profit company,Professional staff,Consulting,United States,Georgia,PhD,Pathobiology and Translational Science,Medicine/Veterinary Medicine/Pathology,2000-2004
NIEHS,1066,Female,United States,US,20.2,For-profit company,Professional staff,Science writing or communications,United States,Indiana,PhD,Pharmacology,Pharmacology/Toxicology,2015-2019
NIEHS,172,Female,United States,US,6.9,For-profit company,Professional staff,Science/Public policy,United States,Maryland,PhD,Molecular and Cellular Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,219,Female,United States,US,16.7,For-profit company,Professional staff,Other [Finance Administration],United States,Maryland,PhD,Genetics and Genomics,Genetics/Genomics,2010-2014
NIEHS,303,Female,United States,US,50.5,For-profit company,Professional staff,Primarily applied research,United States,Maryland,PhD,Biochemistry and Biophysics,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,607,Female,United States,US,20.8,For-profit company,Professional staff,Primarily applied research,United States,Maryland,PhD,Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,1037,Female,United States,US,47.9,For-profit company,Professional staff,Computation/informatics,United States,Maryland,PhD,Biostatistics,Computational Biology/Biostatistics/Bioinformatics,2015-2019
NIEHS,181,Female,United States,US,23.3,For-profit company,Professional staff,Primarily applied research,United States,Massachusetts,PhD,Nutritional Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,604,Female,United States,US,46.4,For-profit company,Professional staff,Primarily applied research,United States,Massachusetts,PhD,Unknown,Unknown,2010-2014
NIEHS,763,Female,United States,US,3.4,For-profit company,Professional staff,Primarily clinical research,United States,Massachusetts,PhD,Pharmacology,Pharmacology/Toxicology,2000-2004
NIEHS,1080,Female,United States,US,96.8,For-profit company,Professional staff,Primarily applied research,United States,Massachusetts,PhD,Pharmacology,Pharmacology/Toxicology,2015-2019
NIEHS,1092,Female,United States,US,16.9,For-profit company,Professional staff,Primarily applied research,United States,Massachusetts,PhD,Epidemiology,Epidemiology,2015-2019
NIEHS,1026,Female,United States,US,35.9,For-profit company,Professional staff,Primarily applied research,United States,New Jersey,DVM;PhD,Comparative Molecular Pathology,Medicine/Veterinary Medicine/Pathology,2015-2019
NIEHS,54,Female,United States,US,45.6,For-profit company,Professional staff,Science writing or communications,United States,North Carolina,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,57,Female,United States,US,12.3,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Physiology/Cell and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,75,Female,United States,US,36.9,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,93,Female,United States,US,82.5,For-profit company,Professional staff,Science Writing or Communications,United States,North Carolina,PhD,Unknown,Unknown,2005-2009
NIEHS,98,Female,United States,US,31.4,For-profit company,Professional staff,Science writing or communications,United States,North Carolina,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,149,Female,United States,US,48,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,"Epidemiology,",Epidemiology,2010-2014
NIEHS,160,Female,United States,US,3.4,For-profit company,Professional staff,Intellectual property/licensing and patenting,United States,North Carolina,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,161,Female,United States,US,54.7,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Pharmacology and Molecular Sciences,Pharmacology/Toxicology,2000-2004
NIEHS,163,Female,United States,US,48.4,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,167,Female,United States,US,60.1,For-profit company,Professional staff,Science administration/project management,United States,North Carolina,PhD,Unknown,Unknown,2005-2009
NIEHS,188,Female,United States,US,17.6,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,MD;PhD,Unknown,Unknown,2010-2014
NIEHS,195,Female,United States,US,31.5,For-profit company,Professional staff,Consulting,United States,North Carolina,PhD,Epidemiology,Epidemiology,2005-2009
NIEHS,295,Female,United States,US,52.5,For-profit company,Professional staff,Technical/customer support,United States,North Carolina,PhD,Cell and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,299,Female,United States,US,51.3,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Unknown,Unknown,2005-2009
NIEHS,310,Female,United States,US,21.6,For-profit company,Professional staff,Consulting,United States,North Carolina,PhD,Molecular Biophysics,Biophysics/Structural Biology,2005-2009
NIEHS,336,Female,United States,US,35,For-profit company,Professional staff,Other,United States,North Carolina,PhD,Phamarcology,Pharmacology/Toxicology,2005-2009
NIEHS,348,Female,United States,US,41.7,For-profit company,Professional staff,Consulting,United States,North Carolina,PhD,Applied and Biological Sciences,General Biology/Biomedical Science,2005-2009
NIEHS,412,Female,United States,US,69.5,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Immunology,Microbiology/Immunology,2010-2014
NIEHS,438,Female,United States,US,60,For-profit company,Professional staff,Regulatory Affairs,United States,North Carolina,PhD,Pharmacology and Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,493,Female,United States,US,34.3,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Genetics and Molecular Biology,Genetics/Genomics,2005-2009
NIEHS,499,Female,United States,US,22.6,For-profit company,Professional staff,Other [Medical Lisiaon],United States,North Carolina,PhD,Molecular Genetics and Microbiology,Genetics/Genomics,2005-2009
NIEHS,501,Female,United States,US,38,For-profit company,Professional staff,Regulatory affairs,United States,North Carolina,PhD,Animal Sciences/Toxicology,Pharmacology/Toxicology,2010-2014
NIEHS,511,Female,United States,US,12,For-profit company,Professional staff,Technical/customer support,United States,North Carolina,DVM,Veterinary Medicine,Medicine/Veterinary Medicine/Pathology,2005-2009
NIEHS,513,Female,United States,US,17,For-profit company,Professional staff,Other [Veterinary practice],United States,North Carolina,DVM,Veterinary Medicine,Medicine/Veterinary Medicine/Pathology,2000-2004
NIEHS,564,Female,United States,US,95.4,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Epidemiology,Epidemiology,2010-2014
NIEHS,573,Female,United States,US,40.2,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Bioanalytical Chemistry,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,590,Female,United States,US,39.5,For-profit company,Professional staff,Primarily clinical research,United States,North Carolina,PhD,Neurobiology,Neurobiology/Neuroscience,2010-2014
NIEHS,606,Female,United States,US,44,For-profit company,Professional staff,Regulatory affairs,United States,North Carolina,PhD,Genetics and Molecular Biology,Genetics/Genomics,2010-2014
NIEHS,608,Female,United States,US,49.1,For-profit company,Professional staff,Intellectual property/licensing and patenting,United States,North Carolina,PhD,Immunology,Microbiology/Immunology,2010-2014
NIEHS,638,Female,United States,US,34,For-profit company,Professional staff,Primarily basic research,United States,North Carolina,PhD,Nutrition,Biochemistry/Cellular Biology/Molecular Biology,2005-2009
NIEHS,676,Female,United States,US,53,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,715,Female,United States,US,59.6,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,DVM;PhD,Veterinary Medicine; Toxicology,Medicine/Veterinary Medicine/Pathology,2000-2004
NIEHS,863,Female,United States,US,24,For-profit company,Professional staff,Computation/informatics,United States,North Carolina,PhD,Biochemistry & Biophysics,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,896,Female,United States,US,23.5,For-profit company,Professional staff,Science writing or communications,United States,North Carolina,PhD,Molecular Therapeutics & Cell Signal,Other Biological and Biomedical Science,2015-2019
NIEHS,906,Female,United States,US,14.3,For-profit company,Professional staff,Computation/informatics,United States,North Carolina,PhD,Human/Medical Genetics,Genetics/Genomics,2015-2019
NIEHS,914,Female,United States,US,22.2,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,DVM;PhD,Veterinary Medicine,Medicine/Veterinary Medicine/Pathology,2015-2019
NIEHS,918,Female,United States,US,60,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,DVM,Veterinary Medicine,Medicine/Veterinary Medicine/Pathology,2015-2019
NIEHS,922,Female,United States,US,58.5,For-profit company,Professional staff,Primarily basic research,United States,North Carolina,PhD,Molecular Cancer Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,928,Female,United States,US,60,For-profit company,Professional staff,Primarily basic research,United States,North Carolina,PhD,Unknown,Unknown,2015-2019
NIEHS,931,Female,United States,US,41.3,For-profit company,Professional staff,Science Administration/Project Management,United States,North Carolina,PhD,Pharmacology and Cell Biology,Pharmacology/Toxicology,2015-2019
NIEHS,944,Female,United States,US,35.5,For-profit company,Professional staff,Regulatory affairs,United States,North Carolina,PhD,Biochemistry & Biophysics,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,946,Female,United States,US,48.4,For-profit company,Professional staff,Regulatory affairs,United States,North Carolina,PhD,Cell & Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,954,Female,United States,US,33.6,For-profit company,Professional staff,Science writing or communications,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,960,Female,United States,US,26.1,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,DVM,Pathology/Experimental Pathology,Medicine/Veterinary Medicine/Pathology,2015-2019
NIEHS,965,Female,United States,US,72,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,967,Female,United States,US,33.2,For-profit company,Professional staff,Regulatory affairs,United States,North Carolina,PhD,Cell & Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,971,Female,United States,US,20.9,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Pharmaceutical Sciences,Pharmacology/Toxicology,2015-2019
NIEHS,992,Female,United States,US,24,For-profit company,Professional staff,Science writing or communications,United States,North Carolina,PhD,Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,1002,Female,United States,US,21.4,For-profit company,Professional staff,Consulting,United States,North Carolina,PhD,Genetics & Genomics,Genetics/Genomics,2015-2019
NIEHS,1014,Female,United States,US,95,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Cell & Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,1028,Female,United States,US,60,For-profit company,Professional staff,Regulatory Affairs,United States,North Carolina,PhD,Neuroscience,Neurobiology/Neuroscience,2015-2019
NIEHS,1035,Female,United States,US,56,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,DVM,Comparative Biomedical Sciences,General Biology/Biomedical Science,2015-2019
NIEHS,1036,Female,United States,US,45,For-profit company,Professional staff,Science administration/project management,United States,North Carolina,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,1040,Female,United States,US,35.9,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Biochemistry & Biophysics,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,1050,Female,United States,US,91.3,For-profit company,Professional staff,Science administration/project management,United States,North Carolina,PhD,Biology,General Biology/Biomedical Science,2015-2019
NIEHS,1053,Female,United States,US,6.1,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Molecular & Cellular Toxicology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,1063,Female,United States,US,29,For-profit company,Professional staff,Primarily clinical research,United States,North Carolina,PhD,Pharmacology,Pharmacology/Toxicology,2015-2019
NIEHS,1065,Female,United States,US,59.6,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Unknown,Unknown,2015-2019
NIEHS,1072,Female,United States,US,97,For-profit company,Professional staff,Primarily applied research,United States,North Carolina,PhD,Immunology,Microbiology/Immunology,2015-2019
NIEHS,1074,Female,United States,US,94.8,For-profit company,Professional staff,Primarily basic research,United States,North Carolina,PhD,Biological and Biomedical Sciences,General Biology/Biomedical Science,2015-2019
NIEHS,1075,Female,United States,US,57.4,For-profit company,Professional staff,Science writing or communications,United States,North Carolina,PhD,Cell Biology,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,1089,Female,United States,US,43.5,For-profit company,Professional staff,Computation/Informatics,United States,North Carolina,PhD,Genetics and Molecular Biology,Genetics/Genomics,2015-2019
NIEHS,206,Female,United States,US,78,For-profit company,Professional staff,Primarily applied research,United States,Ohio,PhD,Organic Chemistry,Chemistry,2000-2004
NIEHS,988,Female,United States,US,24,For-profit company,Professional staff,Regulatory affairs,United States,Ohio,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,22,Female,United States,US,48.2,For-profit company,Professional staff,Primarily applied research,United States,Pennsylvania,PhD,Unknown,Unknown,2000-2004
NIEHS,248,Female,United States,US,36,For-profit company,Professional staff,Primarily applied research,United States,Pennsylvania,PhD,Pathology,Medicine/Veterinary Medicine/Pathology,2010-2014
NIEHS,411,Female,United States,US,60,For-profit company,Professional staff,Regulatory affairs,United States,Pennsylvania,PhD,Medical Sciences,General Biology/Biomedical Science,2010-2014
NIEHS,94,Female,United States,US,32.9,For-profit company,Professional staff,Primarily teaching,United States,Texas,PhD,Unknown,Unknown,2005-2009
NIEHS,450,Female,United States,US,24.3,For-profit company,Professional staff,Primarily applied research,United States,Texas,PhD,Chemical Toxicology,Pharmacology/Toxicology,2005-2009
NIEHS,293,Female,United States,US,1.7,For-profit company,Professional staff,Primarily applied research,United States,Virgin Islands,PhD,Biomedical Sciences,General Biology/Biomedical Science,2005-2009
NIEHS,756,Male,United States,US,17.3,For-profit company,Professional staff,Primarily applied research,Switzerland,Basel,PhD,Unknown,Unknown,2000-2004
NIEHS,453,Male,United States,US,32.9,For-profit company,Professional staff,Primarily applied research,United States,California,PhD,Cellular and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2000-2004
NIEHS,766,Male,United States,US,22.8,For-profit company,Professional staff,Consulting,United States,California,PhD,Pharmaceutical Sciences,Pharmacology/Toxicology,2000-2004
NIEHS,970,Male,United States,US,34.2,For-profit company,Professional staff,Primarily applied research,United States,California,PhD,Biochemistry,Biochemistry/Cellular Biology/Molecular Biology,2015-2019
NIEHS,764,Male,United States,US,36,For-profit company,Professional staff,Primarily clinical research,United States,Colorado,PhD,Genetics and Molecular Biology,Genetics/Genomics,2000-2004
NIEHS,417,Male,United States,US,23.2,For-profit company,Professional staff,Sales/marketing,United States,Florida,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,126,Male,United States,US,34,For-profit company,Professional staff,Primarily applied research,United States,Illinois,PhD,Biology,General Biology/Biomedical Science,2005-2009
NIEHS,999,Male,United States,US,13.9,For-profit company,Professional staff,Primarily applied research,United States,Maryland,PhD,Toxicology,Pharmacology/Toxicology,2015-2019
NIEHS,1093,Male,United States,US,39.5,For-profit company,Professional staff,Primarily applied research,United States,Maryland,PhD,"Biomedical Sciences, General",General Biology/Biomedical Science,2015-2019
NIEHS,174,Male,United States,US,25.4,For-profit company,Professional staff,Sales/Marketing,United States,Massachusetts,PhD,Chemistry,Chemistry,2005-2009
NIEHS,361,Male,United States,US,48,For-profit company,Professional staff,Primarily applied research,United States,Massachusetts,PhD,Molecular and Cellular Pathology,Medicine/Veterinary Medicine/Pathology,2010-2014
NIEHS,444,Male,United States,US,22.5,For-profit company,Professional staff,Computation/informatics,United States,Massachusetts,PhD,Biostatistics,Computational Biology/Biostatistics/Bioinformatics,2005-2009
NIEHS,516,Male,United States,US,20.6,For-profit company,Professional staff,Consulting,United States,Massachusetts,PhD,Biochemistry and Molecular Biology,Biochemistry/Cellular Biology/Molecular Biology,2010-2014
NIEHS,730,Male,United States,US,40.2,For-profit company,Professional staff,Primarily applied research,United States,Massachusetts,PhD,Pharmacology & Toxicology,Pharmacology/Toxicology,2005-2009
